response_id,control_doc_id,test_doc_id,stance,chose_control,confidence,time_spent_seconds,expanded_control,expanded_test,tercile
0,P25_AGAINST,P40_AGAINST,AGAINST,True,4,19.7,True,False,early
1,P27_AGAINST,P42_AGAINST,AGAINST,True,,98.5,True,False,early
2,P45_FOR,P18_FOR,FOR,False,,6.4,False,False,early
3,P33_AGAINST,P26_AGAINST,AGAINST,False,,24.6,False,False,early
4,P27_FOR,P32_FOR,FOR,False,,19.5,False,False,early
5,P43_FOR,P26_FOR,FOR,False,,11.5,False,False,middle
6,P17_FOR,P40_FOR,FOR,False,,13.5,False,False,middle
7,P43_AGAINST,P24_AGAINST,AGAINST,False,,13.0,False,False,middle
8,P39_FOR,P30_FOR,FOR,True,,14.8,False,False,middle
9,P19_FOR,P42_FOR,FOR,True,,19.9,False,False,late
10,P33_FOR,P16_FOR,FOR,True,,12.4,False,False,late
11,P39_FOR,P32_FOR,FOR,True,,35.2,False,False,early
12,P29_FOR,P26_FOR,FOR,True,,0.6,False,False,early
13,P27_FOR,P30_FOR,FOR,True,4,71.4,False,False,early
14,P43_FOR,P44_FOR,FOR,False,4,3.5,False,False,early
15,P39_AGAINST,P22_AGAINST,AGAINST,True,,3.6,False,False,middle
16,P33_AGAINST,P24_AGAINST,AGAINST,True,,0.7,False,False,middle
17,P25_AGAINST,P42_AGAINST,AGAINST,True,4,5.8,False,False,middle
18,P29_AGAINST,P32_AGAINST,AGAINST,True,4,10.8,True,False,late
19,P19_AGAINST,P34_AGAINST,AGAINST,False,,8.0,False,False,late
20,P27_FOR,P26_FOR,FOR,False,,152.5,False,False,early
21,P45_AGAINST,P18_AGAINST,AGAINST,True,,176.7,False,False,early
22,P19_FOR,P32_FOR,FOR,False,,55.0,False,False,early
23,P43_FOR,P40_FOR,FOR,False,,51.0,False,False,early
24,P17_AGAINST,P34_AGAINST,AGAINST,False,,54.6,False,False,early
25,P25_AGAINST,P22_AGAINST,AGAINST,False,,28.5,False,False,early
26,P17_FOR,P44_FOR,FOR,False,,10.1,False,False,middle
27,P33_AGAINST,P24_AGAINST,AGAINST,False,,100.8,False,False,middle
28,P29_AGAINST,P40_AGAINST,AGAINST,False,,30.4,False,False,middle
29,P29_FOR,P48_FOR,FOR,False,,26.3,False,False,middle
30,P45_FOR,P30_FOR,FOR,False,,14.7,False,False,middle
31,P25_FOR,P22_FOR,FOR,False,,12.2,False,False,middle
32,P33_FOR,P42_FOR,FOR,False,,137.0,False,False,late
33,P27_AGAINST,P16_AGAINST,AGAINST,False,,28.4,False,False,late
34,P43_AGAINST,P26_AGAINST,AGAINST,False,,49.4,False,False,late
35,P39_AGAINST,P32_AGAINST,AGAINST,True,,153.3,True,True,late
36,P19_AGAINST,P30_AGAINST,AGAINST,False,,138.2,True,True,late
37,P39_FOR,P34_FOR,FOR,True,,178.2,True,True,late
38,P19_AGAINST,P44_AGAINST,AGAINST,True,,122.0,False,False,early
39,P45_FOR,P34_FOR,FOR,False,,90.0,False,False,middle
40,P19_AGAINST,P18_AGAINST,AGAINST,True,,200.6,False,False,early
41,P29_FOR,P16_FOR,FOR,True,1,137.0,False,False,early
42,P39_AGAINST,P16_AGAINST,AGAINST,False,,123.6,False,False,middle
43,P25_FOR,P30_FOR,FOR,False,,47.8,False,False,middle
44,P29_AGAINST,P32_AGAINST,AGAINST,True,,111.8,False,False,late
45,P29_AGAINST,P26_AGAINST,AGAINST,True,,9.9,False,False,early
46,P19_AGAINST,P22_AGAINST,AGAINST,False,,0.7,False,False,early
47,P27_AGAINST,P32_AGAINST,AGAINST,True,,12.4,False,False,early
48,P45_FOR,P34_FOR,FOR,False,,0.6,False,False,middle
49,P17_AGAINST,P24_AGAINST,AGAINST,False,,1.5,False,False,middle
50,P39_FOR,P32_FOR,FOR,False,,2.2,False,False,middle
51,P33_FOR,P30_FOR,FOR,False,4,1.6,False,False,late
52,P43_FOR,P18_FOR,FOR,True,4,3.8,False,False,late
53,P45_AGAINST,P18_AGAINST,AGAINST,True,,47.8,False,False,early
54,P25_AGAINST,P42_AGAINST,AGAINST,False,,125.9,False,False,early
55,P17_AGAINST,P40_AGAINST,AGAINST,True,,1.6,False,False,middle
56,P17_FOR,P32_FOR,FOR,False,,135.1,True,True,early
57,P25_AGAINST,P24_AGAINST,AGAINST,False,,32.8,False,False,middle
58,P17_AGAINST,P24_AGAINST,AGAINST,False,,89.8,False,True,early
59,P39_AGAINST,P30_AGAINST,AGAINST,False,,98.4,False,False,early
60,P27_AGAINST,P44_AGAINST,AGAINST,True,,25.7,False,False,middle
61,P19_FOR,P48_FOR,FOR,False,,15.1,False,False,middle
62,P43_FOR,P42_FOR,FOR,False,,52.5,False,False,late
63,P45_AGAINST,P32_AGAINST,AGAINST,False,4,51.1,True,True,early
64,P33_AGAINST,P30_AGAINST,AGAINST,False,,51.6,False,False,early
65,P25_AGAINST,P22_AGAINST,AGAINST,True,,83.0,False,False,early
66,P27_AGAINST,P34_AGAINST,AGAINST,False,,2.8,False,False,early
67,P29_AGAINST,P44_AGAINST,AGAINST,False,,11.0,False,False,early
68,P43_AGAINST,P24_AGAINST,AGAINST,False,3,2.3,False,False,middle
69,P25_FOR,P42_FOR,FOR,False,,13.6,False,False,middle
70,P19_AGAINST,P42_AGAINST,AGAINST,False,,12.7,False,False,middle
71,P17_FOR,P32_FOR,FOR,True,,80.3,False,False,middle
72,P29_FOR,P40_FOR,FOR,False,,28.5,False,False,middle
73,P33_FOR,P24_FOR,FOR,False,,51.6,False,False,late
74,P27_FOR,P48_FOR,FOR,False,,28.8,False,False,late
75,P39_AGAINST,P18_AGAINST,AGAINST,False,,29.0,False,False,late
76,P39_FOR,P34_FOR,FOR,False,,20.0,False,False,late
77,P17_AGAINST,P26_AGAINST,AGAINST,True,,2.2,False,False,late
78,P25_AGAINST,P44_AGAINST,AGAINST,False,,19.7,False,True,early
79,P19_AGAINST,P18_AGAINST,AGAINST,False,5,16.9,False,True,middle
80,P29_FOR,P16_FOR,FOR,False,,39.8,False,False,early
81,P39_FOR,P42_FOR,FOR,True,5,6.3,False,False,early
82,P17_AGAINST,P18_AGAINST,AGAINST,True,1,216.4,True,True,middle
83,P27_AGAINST,P32_AGAINST,AGAINST,False,3,10.2,False,False,middle
84,P27_FOR,P48_FOR,FOR,False,1,84.1,False,True,late
85,P33_AGAINST,P44_AGAINST,AGAINST,True,,2.0,False,False,early
86,P29_AGAINST,P24_AGAINST,AGAINST,False,,0.9,False,False,early
87,P25_AGAINST,P16_AGAINST,AGAINST,True,,0.9,False,False,early
88,P25_FOR,P32_FOR,FOR,True,,0.9,False,False,early
89,P17_FOR,P18_FOR,FOR,True,,0.9,False,False,early
90,P19_AGAINST,P18_AGAINST,AGAINST,True,,0.8,False,False,early
91,P27_AGAINST,P32_AGAINST,AGAINST,False,,1.7,False,False,middle
92,P43_FOR,P40_FOR,FOR,False,,1.5,False,False,middle
93,P43_AGAINST,P22_AGAINST,AGAINST,True,,0.6,False,False,middle
94,P39_AGAINST,P40_AGAINST,AGAINST,True,,0.9,False,False,middle
95,P39_FOR,P24_FOR,FOR,True,,0.7,False,False,middle
96,P27_FOR,P16_FOR,FOR,True,,0.7,False,False,middle
97,P45_FOR,P30_FOR,FOR,False,,0.7,False,False,late
98,P45_FOR,P30_FOR,FOR,False,,0.3,False,False,late
99,P45_AGAINST,P34_AGAINST,AGAINST,False,,0.5,False,False,late
100,P29_FOR,P48_FOR,FOR,True,,1.0,False,False,late
101,P17_AGAINST,P26_AGAINST,AGAINST,True,,0.7,False,False,late
102,P19_FOR,P44_FOR,FOR,False,,1.7,False,False,late
103,P33_AGAINST,P16_AGAINST,AGAINST,False,,1.5,False,False,early
104,P27_AGAINST,P42_AGAINST,AGAINST,False,5,5.4,False,False,early
105,P45_FOR,P42_FOR,FOR,True,,2.2,False,False,middle
106,P39_AGAINST,P24_AGAINST,AGAINST,True,,0.6,False,False,middle
107,P17_AGAINST,P22_AGAINST,AGAINST,False,1,4.9,False,False,late
108,P45_FOR,P48_FOR,FOR,False,3,39.4,False,False,early
109,P27_AGAINST,P18_AGAINST,AGAINST,False,,4.8,False,False,early
110,P25_AGAINST,P26_AGAINST,AGAINST,True,1,3.8,False,False,early
111,P29_AGAINST,P40_AGAINST,AGAINST,False,5,8.0,False,False,early
112,P25_FOR,P22_FOR,FOR,True,4,2.2,False,False,early
113,P19_AGAINST,P30_AGAINST,AGAINST,False,3,2.2,False,False,early
114,P39_AGAINST,P34_AGAINST,AGAINST,False,4,1.6,False,False,middle
115,P43_FOR,P42_FOR,FOR,False,,1.0,False,False,middle
116,P29_FOR,P30_FOR,FOR,True,2,1.6,False,False,middle
117,P27_FOR,P24_FOR,FOR,True,,13.6,False,False,middle
118,P19_FOR,P26_FOR,FOR,False,2,2.8,False,False,middle
119,P33_AGAINST,P16_AGAINST,AGAINST,True,1,441.9,True,True,middle
120,P17_FOR,P40_FOR,FOR,True,,1.1,False,False,late
121,P39_FOR,P16_FOR,FOR,False,,2.0,False,False,late
122,P43_AGAINST,P22_AGAINST,AGAINST,False,,1.0,False,False,late
123,P33_FOR,P18_FOR,FOR,True,,1.1,False,False,late
124,P17_AGAINST,P44_AGAINST,AGAINST,False,,0.7,False,False,late
125,P45_AGAINST,P32_AGAINST,AGAINST,True,,1.0,False,False,late
126,P25_AGAINST,P34_AGAINST,AGAINST,False,4,66.5,False,False,early
127,P45_AGAINST,P40_AGAINST,AGAINST,False,5,22.6,False,False,early
128,P43_FOR,P44_FOR,FOR,False,4,67.4,False,False,early
129,P17_FOR,P16_FOR,FOR,True,5,11.7,False,False,middle
130,P33_FOR,P18_FOR,FOR,True,5,41.4,False,False,middle
131,P27_AGAINST,P24_AGAINST,AGAINST,True,3,64.7,True,True,middle
132,P17_AGAINST,P42_AGAINST,AGAINST,True,3,51.1,False,False,late
133,P43_AGAINST,P22_AGAINST,AGAINST,True,,1.4,False,False,early
134,P33_FOR,P18_FOR,FOR,True,,0.9,False,False,early
135,P17_FOR,P30_FOR,FOR,True,,0.9,False,False,early
136,P25_AGAINST,P40_AGAINST,AGAINST,True,,1.0,False,False,early
137,P27_AGAINST,P32_AGAINST,AGAINST,False,,1.4,False,False,early
138,P25_FOR,P34_FOR,FOR,False,,1.0,False,False,early
139,P45_FOR,P44_FOR,FOR,False,,0.8,False,False,middle
140,P33_AGAINST,P42_AGAINST,AGAINST,False,,2.4,False,False,middle
141,P29_AGAINST,P30_AGAINST,AGAINST,True,,0.8,False,False,middle
142,P39_AGAINST,P26_AGAINST,AGAINST,True,,0.8,False,False,middle
143,P27_FOR,P42_FOR,FOR,False,,1.3,False,False,middle
144,P43_FOR,P16_FOR,FOR,False,,1.3,False,False,middle
145,P17_AGAINST,P18_AGAINST,AGAINST,False,,1.0,False,False,late
146,P45_AGAINST,P34_AGAINST,AGAINST,True,,1.2,False,False,late
147,P19_FOR,P48_FOR,FOR,False,,1.4,False,False,late
148,P19_AGAINST,P44_AGAINST,AGAINST,False,,1.1,False,False,late
149,P29_FOR,P24_FOR,FOR,True,,1.1,False,False,late
150,P39_FOR,P40_FOR,FOR,True,,1.0,False,False,late
151,P33_AGAINST,P16_AGAINST,AGAINST,False,4,15.3,False,False,early
152,P17_AGAINST,P32_AGAINST,AGAINST,True,4,30.9,False,False,early
153,P45_FOR,P40_FOR,FOR,False,5,33.8,False,False,early
154,P19_FOR,P16_FOR,FOR,True,5,20.5,False,False,early
155,P29_AGAINST,P44_AGAINST,AGAINST,False,4,18.2,False,False,middle
156,P25_AGAINST,P22_AGAINST,AGAINST,False,5,19.1,False,False,middle
157,P17_FOR,P48_FOR,FOR,False,5,15.5,False,False,middle
158,P27_FOR,P34_FOR,FOR,True,4,30.8,False,False,middle
159,P39_FOR,P22_FOR,FOR,True,1,38.3,False,False,late
160,P39_AGAINST,P18_AGAINST,AGAINST,False,4,22.8,False,False,late
161,P43_AGAINST,P26_AGAINST,AGAINST,False,4,19.4,False,False,late
162,P39_FOR,P34_FOR,FOR,True,5,4.0,False,False,early
163,P27_AGAINST,P22_AGAINST,AGAINST,False,3,45.2,False,False,early
164,P27_FOR,P42_FOR,FOR,False,3,56.0,False,False,early
165,P25_FOR,P18_FOR,FOR,False,4,32.1,False,False,early
166,P43_AGAINST,P16_AGAINST,AGAINST,False,4,54.3,False,False,early
167,P19_FOR,P24_FOR,FOR,False,3,25.3,False,False,early
168,P45_FOR,P40_FOR,FOR,False,2,33.4,False,False,middle
169,P19_AGAINST,P32_AGAINST,AGAINST,False,2,36.8,False,False,middle
170,P45_AGAINST,P44_AGAINST,AGAINST,True,3,13.5,False,False,middle
171,P33_FOR,P32_FOR,FOR,False,3,13.9,False,False,middle
172,P39_AGAINST,P30_AGAINST,AGAINST,True,1,2.3,False,False,middle
173,P17_AGAINST,P18_AGAINST,AGAINST,True,3,9.9,False,False,middle
174,P29_FOR,P30_FOR,FOR,False,4,15.6,False,False,late
175,P33_AGAINST,P24_AGAINST,AGAINST,False,4,28.6,False,False,late
176,P17_FOR,P48_FOR,FOR,False,4,31.2,False,False,late
177,P29_AGAINST,P34_AGAINST,AGAINST,True,3,41.4,False,False,late
178,P43_FOR,P22_FOR,FOR,False,3,22.9,False,False,late
179,P25_AGAINST,P40_AGAINST,AGAINST,False,3,11.3,False,False,late
180,P25_AGAINST,P42_AGAINST,AGAINST,False,,9.3,False,False,early
181,P29_FOR,P44_FOR,FOR,True,,3.2,False,False,middle
182,P33_FOR,P18_FOR,FOR,False,,1.7,False,False,late
183,P45_AGAINST,P24_AGAINST,AGAINST,True,,88.2,False,False,early
184,P19_AGAINST,P30_AGAINST,AGAINST,True,,1.8,False,False,early
185,P25_AGAINST,P22_AGAINST,AGAINST,True,,97.3,False,False,middle
186,P43_FOR,P18_FOR,FOR,False,,40.4,False,False,early
187,P17_AGAINST,P34_AGAINST,AGAINST,False,,42.4,False,False,early
188,P45_AGAINST,P26_AGAINST,AGAINST,False,,20.4,False,False,middle
189,P25_FOR,P16_FOR,FOR,True,,28.6,False,False,middle
190,P27_AGAINST,P42_AGAINST,AGAINST,True,,64.2,True,True,early
191,P25_AGAINST,P40_AGAINST,AGAINST,False,5,63.7,False,True,early
192,P27_FOR,P26_FOR,FOR,False,,41.5,False,False,early
193,P33_FOR,P30_FOR,FOR,False,5,11.2,False,False,early
194,P33_AGAINST,P16_AGAINST,AGAINST,False,3,68.3,False,False,early
195,P45_FOR,P32_FOR,FOR,False,3,24.7,False,False,early
196,P19_AGAINST,P44_AGAINST,AGAINST,False,1,299.8,False,False,early
197,P19_FOR,P44_FOR,FOR,False,4,141.7,True,True,middle
198,P39_AGAINST,P18_AGAINST,AGAINST,True,4,72.6,True,True,middle
199,P27_AGAINST,P22_AGAINST,AGAINST,True,5,134.1,True,True,middle
200,P17_AGAINST,P34_AGAINST,AGAINST,False,5,24.3,False,True,middle
201,P43_AGAINST,P32_AGAINST,AGAINST,False,5,19.5,True,False,middle
202,P39_FOR,P22_FOR,FOR,True,5,11.0,False,False,middle
203,P45_AGAINST,P42_AGAINST,AGAINST,True,5,21.1,False,False,late
204,P43_FOR,P40_FOR,FOR,False,5,42.6,False,False,late
205,P29_AGAINST,P24_AGAINST,AGAINST,True,5,57.8,False,False,late
206,P17_FOR,P24_FOR,FOR,False,,65.1,False,False,late
207,P29_FOR,P16_FOR,FOR,False,5,51.5,False,False,late
208,P25_FOR,P34_FOR,FOR,False,5,16.6,False,False,late
209,P43_FOR,P34_FOR,FOR,True,,1.5,False,False,early
210,P17_AGAINST,P22_AGAINST,AGAINST,True,,7.6,False,False,early
211,P29_FOR,P22_FOR,FOR,True,,1.2,False,False,early
212,P19_FOR,P30_FOR,FOR,True,,8.9,False,False,early
213,P27_FOR,P24_FOR,FOR,False,,2.8,False,False,early
214,P27_AGAINST,P32_AGAINST,AGAINST,False,,2.0,False,False,early
215,P33_AGAINST,P42_AGAINST,AGAINST,True,,3.3,False,False,middle
216,P17_FOR,P40_FOR,FOR,True,,0.9,False,False,middle
217,P43_AGAINST,P44_AGAINST,AGAINST,False,,1.0,False,False,middle
218,P25_AGAINST,P24_AGAINST,AGAINST,True,,1.2,False,False,middle
219,P39_AGAINST,P16_AGAINST,AGAINST,False,,1.0,False,False,middle
220,P45_FOR,P42_FOR,FOR,False,,0.6,False,False,middle
221,P19_AGAINST,P26_AGAINST,AGAINST,False,,0.8,False,False,late
222,P25_FOR,P32_FOR,FOR,True,,1.5,False,False,late
223,P45_AGAINST,P34_AGAINST,AGAINST,False,,0.8,False,False,late
224,P33_FOR,P26_FOR,FOR,False,,1.1,False,False,late
225,P29_AGAINST,P30_AGAINST,AGAINST,True,,1.3,False,False,late
226,P39_FOR,P18_FOR,FOR,False,,0.7,False,False,late
227,P19_FOR,P26_FOR,FOR,False,3,6.0,False,False,early
228,P17_AGAINST,P34_AGAINST,AGAINST,False,3,85.0,True,True,early
229,P43_FOR,P32_FOR,FOR,True,3,36.1,True,True,early
230,P19_AGAINST,P44_AGAINST,AGAINST,False,4,58.8,True,True,early
231,P45_AGAINST,P26_AGAINST,AGAINST,False,3,32.7,True,True,early
232,P39_AGAINST,P40_AGAINST,AGAINST,False,1,72.6,True,True,early
233,P25_AGAINST,P24_AGAINST,AGAINST,False,2,16.7,True,True,middle
234,P27_FOR,P42_FOR,FOR,True,3,11.1,True,True,middle
235,P33_AGAINST,P18_AGAINST,AGAINST,True,1,34.8,True,True,middle
236,P29_AGAINST,P16_AGAINST,AGAINST,False,2,11.9,True,True,middle
237,P25_FOR,P30_FOR,FOR,True,2,25.2,True,True,middle
238,P43_AGAINST,P22_AGAINST,AGAINST,False,3,29.6,True,True,middle
239,P27_AGAINST,P32_AGAINST,AGAINST,True,3,12.9,True,True,late
240,P17_FOR,P48_FOR,FOR,False,4,32.6,True,True,late
241,P33_FOR,P22_FOR,FOR,False,3,8.7,True,False,late
242,P39_FOR,P44_FOR,FOR,True,3,9.6,True,True,late
243,P29_FOR,P24_FOR,FOR,True,3,13.1,False,True,late
244,P45_FOR,P34_FOR,FOR,True,2,23.9,True,True,late
245,P17_AGAINST,P24_AGAINST,AGAINST,False,3,190.8,True,True,early
246,P43_AGAINST,P44_AGAINST,AGAINST,False,,1.0,False,False,middle
247,P45_AGAINST,P40_AGAINST,AGAINST,False,,6.9,False,False,late
248,P27_AGAINST,P24_AGAINST,AGAINST,False,,60.3,True,False,early
249,P25_AGAINST,P16_AGAINST,AGAINST,False,,64.9,False,False,middle
250,P45_AGAINST,P26_AGAINST,AGAINST,False,,76.7,True,True,late
251,P29_FOR,P24_FOR,FOR,True,2,126.5,False,False,early
252,P27_AGAINST,P26_AGAINST,AGAINST,False,3,180.9,False,False,early
253,P27_FOR,P34_FOR,FOR,True,4,83.4,False,False,middle
254,P19_FOR,P42_FOR,FOR,True,3,83.6,False,False,middle
255,P25_AGAINST,P44_AGAINST,AGAINST,False,3,117.8,False,False,late
256,P39_AGAINST,P22_AGAINST,AGAINST,True,4,73.3,False,False,late
257,P19_AGAINST,P16_AGAINST,AGAINST,False,4,9.5,False,False,early
258,P39_AGAINST,P42_AGAINST,AGAINST,True,3,6.7,False,False,early
259,P45_FOR,P44_FOR,FOR,True,4,15.6,False,False,middle
260,P29_FOR,P30_FOR,FOR,False,,34.3,False,False,early
261,P17_AGAINST,P30_AGAINST,AGAINST,True,3,59.2,False,False,early
262,P19_AGAINST,P40_AGAINST,AGAINST,False,,26.3,False,False,early
263,P29_AGAINST,P26_AGAINST,AGAINST,False,,13.4,False,False,early
264,P43_AGAINST,P44_AGAINST,AGAINST,False,1,35.4,False,False,early
265,P45_FOR,P16_FOR,FOR,True,3,23.5,False,False,early
266,P27_AGAINST,P42_AGAINST,AGAINST,True,4,15.5,False,False,middle
267,P33_FOR,P48_FOR,FOR,False,4,29.3,False,False,middle
268,P19_FOR,P18_FOR,FOR,False,3,23.4,False,False,middle
269,P17_FOR,P32_FOR,FOR,False,2,21.9,False,False,middle
270,P25_AGAINST,P32_AGAINST,AGAINST,False,4,15.9,False,False,middle
271,P25_FOR,P42_FOR,FOR,True,4,23.6,False,False,middle
272,P27_FOR,P34_FOR,FOR,True,4,18.6,False,False,late
273,P43_FOR,P24_FOR,FOR,True,4,20.8,False,False,late
274,P33_AGAINST,P22_AGAINST,AGAINST,False,3,39.6,False,False,late
275,P39_AGAINST,P34_AGAINST,AGAINST,True,4,16.0,False,False,late
276,P39_FOR,P44_FOR,FOR,False,3,24.3,False,False,late
277,P45_AGAINST,P24_AGAINST,AGAINST,False,4,19.9,False,False,late
278,P45_AGAINST,P40_AGAINST,AGAINST,False,,144.8,True,True,early
279,P29_AGAINST,P26_AGAINST,AGAINST,False,4,87.9,True,False,early
280,P43_AGAINST,P16_AGAINST,AGAINST,True,3,83.2,True,True,middle
281,P39_AGAINST,P42_AGAINST,AGAINST,True,4,52.1,False,False,middle
282,P25_FOR,P34_FOR,FOR,False,4,51.6,True,False,late
283,P33_AGAINST,P32_AGAINST,AGAINST,True,2,77.2,False,False,late
284,P43_FOR,P24_FOR,FOR,True,1,199.7,False,False,early
285,P45_FOR,P42_FOR,FOR,True,,1.5,False,False,early
286,P25_AGAINST,P24_AGAINST,AGAINST,False,,0.9,False,False,early
287,P33_FOR,P34_FOR,FOR,True,,0.5,False,False,early
288,P19_FOR,P26_FOR,FOR,True,,0.7,False,False,early
289,P39_AGAINST,P30_AGAINST,AGAINST,False,,5.1,True,True,early
290,P45_AGAINST,P26_AGAINST,AGAINST,True,,0.5,False,False,middle
291,P29_AGAINST,P34_AGAINST,AGAINST,False,,1.1,False,False,middle
292,P25_FOR,P48_FOR,FOR,False,,0.7,False,False,middle
293,P17_FOR,P30_FOR,FOR,True,,0.7,False,False,middle
294,P29_FOR,P32_FOR,FOR,True,,0.6,False,False,middle
295,P17_AGAINST,P42_AGAINST,AGAINST,False,,0.7,False,False,middle
296,P27_FOR,P16_FOR,FOR,False,,1.1,False,False,late
297,P43_AGAINST,P18_AGAINST,AGAINST,True,,0.6,False,False,late
298,P19_AGAINST,P44_AGAINST,AGAINST,True,,0.7,False,False,late
299,P39_FOR,P40_FOR,FOR,True,,0.7,False,False,late
300,P33_AGAINST,P40_AGAINST,AGAINST,True,,0.6,False,False,late
301,P19_FOR,P18_FOR,FOR,True,1,11.9,True,True,early
302,P27_AGAINST,P44_AGAINST,AGAINST,True,,30.5,False,False,early
303,P43_AGAINST,P32_AGAINST,AGAINST,False,,0.8,False,False,early
304,P43_FOR,P44_FOR,FOR,True,,0.5,False,False,early
305,P17_FOR,P22_FOR,FOR,False,,0.5,False,False,early
306,P27_FOR,P40_FOR,FOR,False,,1.5,False,False,early
307,P39_AGAINST,P40_AGAINST,AGAINST,False,,0.5,False,False,middle
308,P25_AGAINST,P30_AGAINST,AGAINST,False,,0.6,False,False,middle
309,P19_AGAINST,P22_AGAINST,AGAINST,True,,0.5,False,False,middle
310,P25_FOR,P26_FOR,FOR,True,,0.5,False,False,middle
311,P33_AGAINST,P34_AGAINST,AGAINST,True,,0.6,False,False,middle
312,P33_FOR,P30_FOR,FOR,True,,0.5,False,False,middle
313,P29_FOR,P16_FOR,FOR,False,,0.6,False,False,late
314,P39_FOR,P32_FOR,FOR,True,,0.6,False,False,late
315,P17_AGAINST,P24_AGAINST,AGAINST,False,,0.5,False,False,late
316,P45_FOR,P34_FOR,FOR,True,,0.5,False,False,late
317,P29_AGAINST,P26_AGAINST,AGAINST,False,,0.5,False,False,late
318,P45_AGAINST,P42_AGAINST,AGAINST,False,,1.4,False,False,late
319,P33_FOR,P22_FOR,FOR,False,1,6.8,True,True,early
320,P29_FOR,P24_FOR,FOR,False,5,7.2,True,True,early
321,P39_AGAINST,P40_AGAINST,AGAINST,True,5,4.4,True,True,early
322,P25_FOR,P34_FOR,FOR,False,,0.6,False,False,middle
323,P25_AGAINST,P26_AGAINST,AGAINST,True,1,2.5,False,False,middle
324,P43_FOR,P32_FOR,FOR,True,1,3.6,False,False,middle
325,P33_AGAINST,P32_AGAINST,AGAINST,False,1,2.0,False,False,late
326,P17_AGAINST,P44_AGAINST,AGAINST,False,1,1.6,False,False,late
327,P27_AGAINST,P18_AGAINST,AGAINST,True,4,5.4,True,True,late
328,P27_FOR,P40_FOR,FOR,False,,1.3,False,False,early
329,P45_AGAINST,P32_AGAINST,AGAINST,True,,0.8,False,False,early
330,P29_FOR,P24_FOR,FOR,True,,0.9,False,False,early
331,P17_FOR,P34_FOR,FOR,True,,0.7,False,False,early
332,P43_AGAINST,P18_AGAINST,AGAINST,False,,2.1,False,False,early
333,P43_FOR,P16_FOR,FOR,True,,0.7,False,False,early
334,P19_AGAINST,P24_AGAINST,AGAINST,True,,0.6,False,False,middle
335,P29_AGAINST,P40_AGAINST,AGAINST,True,,0.6,False,False,middle
336,P27_AGAINST,P42_AGAINST,AGAINST,True,,0.5,False,False,middle
337,P45_FOR,P42_FOR,FOR,False,,0.5,False,False,middle
338,P39_AGAINST,P22_AGAINST,AGAINST,False,,0.4,False,False,middle
339,P39_FOR,P26_FOR,FOR,True,,0.4,False,False,middle
340,P33_FOR,P30_FOR,FOR,False,,0.4,False,False,late
341,P19_FOR,P22_FOR,FOR,True,,0.5,False,False,late
