doc_id,pid,condition,stance,task_number,exclude_from_classifier,word_count,char_count,sentence_count,avg_sentence_length,sentence_length_stddev,avg_word_length,type_token_ratio,hapax_ratio,flesch_kincaid_grade,flesch_reading_ease,first_person_rate_per1k,second_person_rate_per1k,hedging_rate_per1k,contraction_rate_per1k,punctuation_density,exclamation_rate_per1k,question_rate_per1k,overlap_score,trigram_containment_max,lcs_ratio_max,seq_ratio_max,n_assistant_messages,talked_to_ai,ai_label
P16_AGAINST,16,test,AGAINST,1,False,313,2464,20,15.65,7.162,6.61,0.7188,0.6134,16.3,6.07,3.19,0.0,0.0,25.56,0.0252,0.0,0.0,1.0,1.0,1.0,0.9814,3,True,high
P16_FOR,16,test,FOR,2,False,328,2247,19,17.263,5.989,5.695,0.6707,0.5488,12.22,38.17,0.0,3.05,3.05,18.29,0.0223,0.0,3.05,1.0,1.0,1.0,0.9855,1,True,high
P17_AGAINST,17,control,AGAINST,2,False,315,2605,15,21,9.834,6.968,0.7016,0.5587,19.01,-3.82,0.0,0.0,6.35,15.87,0.0257,0.0,0.0,1.0,1.0,1.0,1.0,3,True,high
P17_FOR,17,control,FOR,1,False,232,1711,9,25.778,11.681,6.233,0.6853,0.569,18.37,9.28,4.31,0.0,4.31,0.0,0.0193,0.0,0.0,0.9395,0.8597,0.8859,0.9395,3,True,high
P18_AGAINST,18,test,AGAINST,2,False,329,2580,17,19.353,7.008,6.711,0.6748,0.5471,17.89,1.28,0.0,0.0,9.12,3.04,0.0209,0.0,0.0,0.9988,0.9842,0.531,0.9988,3,True,high
P18_FOR,18,test,FOR,1,False,403,3150,23,17.522,7.006,6.672,0.66,0.5335,17.71,-0.72,0.0,0.0,9.93,2.48,0.0175,0.0,0.0,0.9846,0.9542,0.1867,0.9846,10,True,high
P19_AGAINST,19,control,AGAINST,1,False,296,2170,14,21.143,6.949,6.206,0.723,0.5811,16.06,17.6,0.0,6.76,6.76,6.76,0.018,0.0,0.0,0.9963,0.9371,0.3488,0.9963,4,True,high
P19_FOR,19,control,FOR,2,False,338,2567,19,17.789,5.255,6.432,0.6864,0.5385,15.72,14.07,2.96,0.0,2.96,17.75,0.021,0.0,0.0,0.9961,0.9192,0.235,0.9961,3,True,high
P22_AGAINST,22,test,AGAINST,2,False,302,1851,23,13.13,5.595,4.993,0.6987,0.5596,8.48,57.64,49.67,3.31,9.93,43.05,0.027,0.0,0.0,1.0,1.0,1.0,0.988,2,True,high
P22_FOR,22,test,FOR,1,False,296,2105,21,14.095,6.09,5.973,0.723,0.6047,12.91,27.62,6.76,6.76,3.38,0.0,0.0166,0.0,0.0,0.0,0.0,0.0,0.0,0,False,low
P24_AGAINST,24,test,AGAINST,1,False,285,1722,13,21.923,6.751,4.888,0.5544,0.3719,11.51,51.6,21.05,0.0,0.0,10.53,0.0226,0.0,0.0,0.973,0.9642,0.4419,0.973,3,True,high
P24_FOR,24,test,FOR,2,False,294,2152,16,18.375,5.965,6.207,0.6633,0.5272,15.46,16.97,3.4,0.0,6.8,6.8,0.0177,0.0,0.0,0.9792,0.9654,0.4077,0.9792,3,True,high
P25_AGAINST,25,control,AGAINST,2,False,251,2010,14,17.929,5.65,6.865,0.7331,0.5976,17.63,0.56,0.0,0.0,3.98,0.0,0.0219,0.0,0.0,0.9783,0.9241,0.4272,0.9783,2,True,high
P25_FOR,25,control,FOR,1,False,264,1826,20,13.2,6.748,5.769,0.7083,0.5682,11.73,34.49,49.24,0.0,0.0,22.73,0.0246,0.0,0.0,1.0,1.0,1.0,0.9822,3,True,high
P26_AGAINST,26,test,AGAINST,2,False,243,1362,15,16.2,6.889,4.494,0.5432,0.3786,8.02,66.45,4.12,12.35,0.0,4.12,0.0176,0.0,0.0,0.2115,0.0,0.0177,0.2115,1,True,mixed
P26_FOR,26,test,FOR,1,False,212,1212,11,19.273,9.023,4.608,0.5613,0.3585,9.63,60.37,4.72,9.43,4.72,9.43,0.0198,0.0,0.0,0.3067,0.0148,0.0207,0.3067,2,True,mixed
P27_AGAINST,27,control,AGAINST,1,False,216,1199,11,19.636,7.788,4.431,0.6204,0.4398,9.0,65.49,13.89,37.04,18.52,4.63,0.0217,0.0,0.0,0.3901,0.1221,0.071,0.3901,2,True,mixed
P27_FOR,27,control,FOR,2,False,204,1163,8,25.5,14.995,4.613,0.6422,0.4608,12.17,53.22,58.82,9.8,4.9,14.71,0.0163,0.0,4.9,0.0,0.0,0.0,0.0,0,False,low
P29_AGAINST,29,control,AGAINST,2,False,232,1693,9,25.778,8.614,6.147,0.7155,0.5819,18.17,10.74,0.0,0.0,12.93,8.62,0.0189,0.0,0.0,0.6464,0.6089,0.2949,0.6464,1,True,high
P29_FOR,29,control,FOR,1,False,210,1474,10,21,5.925,5.881,0.7095,0.5857,14.96,25.18,0.0,0.0,0.0,0.0,0.0197,0.0,0.0,0.6101,0.4554,0.2766,0.6101,2,True,high
P30_AGAINST,30,test,AGAINST,2,False,264,1996,13,20.308,3.473,6.409,0.6856,0.5568,17.49,5.81,0.0,0.0,11.36,0.0,0.0205,0.0,0.0,0.9526,0.9526,0.245,0.8882,1,True,high
P30_FOR,30,test,FOR,1,False,338,1993,17,19.882,7.96,4.701,0.5325,0.3669,9.55,62.01,2.96,0.0,14.79,2.96,0.0281,0.0,0.0,0.2731,0.0092,0.0151,0.2731,1,True,mixed
P32_AGAINST,32,test,AGAINST,1,False,251,1698,11,22.818,9.358,5.681,0.6813,0.5538,15.59,23.91,3.98,3.98,19.92,3.98,0.0147,0.0,0.0,0.0,0.0,0.0,0.0,0,False,low
P32_FOR,32,test,FOR,2,False,244,1657,12,20.333,9.48,5.668,0.668,0.5205,14.63,26.36,0.0,0.0,4.1,4.1,0.0193,0.0,0.0,1.0,0.9958,1.0,0.9997,1,True,high
