pid,condition,task_number,stance,doc_id,n_turns,n_tokens,duration_s,word_count,overlap_score
18,test,1,FOR,P18_FOR,11,3714,1048,403,0.9846
18,test,2,AGAINST,P18_AGAINST,3,912,290,329,0.9988
39,control,1,AGAINST,P39_AGAINST,1,199,789,204,0.996
39,control,2,FOR,P39_FOR,1,0,877,205,0.0
16,test,1,AGAINST,P16_AGAINST,3,980,489,313,1.0
16,test,2,FOR,P16_FOR,1,337,315,328,1.0
17,control,1,FOR,P17_FOR,3,901,887,232,0.9395
17,control,2,AGAINST,P17_AGAINST,4,763,693,315,1.0
19,control,1,AGAINST,P19_AGAINST,5,1133,473,296,0.9963
19,control,2,FOR,P19_FOR,3,966,464,338,0.9961
22,test,1,FOR,P22_FOR,0,0,49,296,0.0
22,test,2,AGAINST,P22_AGAINST,2,616,78,302,1.0
44,test,1,AGAINST,P44_AGAINST,3,649,936,224,0.9954
44,test,2,FOR,P44_FOR,1,252,859,220,0.9424
25,control,1,FOR,P25_FOR,3,860,545,264,1.0
25,control,2,AGAINST,P25_AGAINST,2,303,212,251,0.9783
24,test,1,AGAINST,P24_AGAINST,3,738,839,285,0.973
24,test,2,FOR,P24_FOR,3,639,819,294,0.9792
26,test,1,FOR,P26_FOR,3,484,748,212,0.3067
26,test,2,AGAINST,P26_AGAINST,3,205,589,243,0.2115
27,control,1,AGAINST,P27_AGAINST,2,119,567,216,0.3901
27,control,2,FOR,P27_FOR,0,0,644,204,0.0
29,control,1,FOR,P29_FOR,2,419,871,210,0.6101
29,control,2,AGAINST,P29_AGAINST,2,249,902,232,0.6464
33,control,1,FOR,P33_FOR,4,1744,666,391,0.9688
33,control,2,AGAINST,P33_AGAINST,1,389,249,376,0.9782
32,test,1,AGAINST,P32_AGAINST,0,0,55,251,0.0
32,test,2,FOR,P32_FOR,1,242,519,244,1.0
30,test,1,FOR,P30_FOR,1,351,963,338,0.2731
30,test,2,AGAINST,P30_AGAINST,1,315,103,264,0.9526
34,test,1,FOR,P34_FOR,9,1733,950,348,0.5799
34,test,2,AGAINST,P34_AGAINST,5,652,559,302,0.8326
42,test,1,FOR,P42_FOR,1,323,317,328,0.9942
42,test,2,AGAINST,P42_AGAINST,1,309,114,310,0.9814
43,control,1,AGAINST,P43_AGAINST,3,312,246,324,0.9966
43,control,2,FOR,P43_FOR,2,600,211,403,0.823
40,test,1,AGAINST,P40_AGAINST,2,242,1651,227,0.1986
40,test,2,FOR,P40_FOR,1,243,2505,230,0.1907
45,control,1,FOR,P45_FOR,2,484,421,290,1.0
45,control,2,AGAINST,P45_AGAINST,3,792,553,266,0.9948
48,test,1,AGAINST,P48_AGAINST,8,1575,938,,
48,test,2,FOR,P48_FOR,5,1170,907,206,0.2567
